,Atrial,AVC,EMP,OFT,SV,Ventricle
Cdc26,1.317543477,1.263387017,1.611795892,1.497321345,1.73120407,1.320462125
Prpf4,0.204253253,0.204707508,0.354289286,0.298443438,0.349759415,0.299553934
Rnf183,0,0,0,0,0,0
Wdr31,0.021578348,0.026091995,0.025984533,0.027501208,0.027237011,0.028824572
Bspry,0.002537986,0.000459538,0.004718634,0.001184225,0.004132956,0.001764176
Hdhd3,0.050177807,0.045172207,0.031805567,0.037896956,0.046810855,0.025560242
Alad,0.544495025,0.484240678,0.621723311,0.468883132,0.567983134,0.602666418
Pole3,0.876906083,0.866506135,1.26420463,0.976233663,1.221371122,0.884379806
4933430I17Rik,0.036431451,0.023138251,0.026926052,0.01662205,0.009526297,0.021719617
Rgs3,0.250649832,0.24464673,0.229269217,0.449989331,0.322433039,0.193805833
Zfp618,0.038608242,0.06072439,0.048000139,0.067989352,0.091044139,0.036286576
Ambp,0.001041404,0.003616253,0.002464554,0.002160091,0.004251481,0.00231367
Kif12,0,0.000288038,0.000304933,0,0,0
Col27a1,0.012993775,0.018174825,0.03765993,0.024158618,0.06214586,0.010033075
Akna,0.00408119,0.007924172,0.00593839,0.003098129,0.009510798,0.002124496
Whrn,0.046818876,0.040275097,0.023502113,0.027926541,0.039907215,0.023253454
Atp6v1g1,3.86304497,4.249213573,3.584898991,3.588025972,3.76109228,2.963526814
6330416G13Rik,0.021713693,0.031900919,0.020712533,0.026045003,0.026175329,0.024780672
Gm11483,0,0.000765413,0,0.000693668,0.001074964,0
Gm11482,0,0.001047399,0.00046237,0,0.00026442,0
Gm11214,0.001194388,0.002708883,0.005131651,0.001404662,0.001825636,0.000643326
Tnfsf15,0,0,0,0.000818909,0,0
Tnfsf8,0,0,0,0,0,0
Rpl17-ps4,0.076184518,0.051266753,0.054876309,0.075280921,0.064821546,0.066204648
Tnc,0.021287611,0.043939311,0.023114579,0.340075091,0.050725485,0.045810673
8030451A03Rik,0.002382498,0.000528093,0.00067838,0.006243074,0.001378206,0.001628017
Gm11217,0,0,0,0,0.000561983,0
Gm11218,0,0.000538955,0,0,0,0
Pappa,0.000319757,0.000270223,0.005422376,0.001242245,0.010018026,0.000707422
Astn2,0,0,0.000272933,0.000512385,0.001621361,0.000380294
Trim32,0.221501569,0.220760005,0.220327041,0.241118643,0.245395877,0.240179243
Tlr4,0,0.000704196,0.000184358,0,0,0
Hmgb1-rs18,0.00271939,0.001618285,0.003920029,0.001514107,0.005819577,0.001741613
Gm11249,0.07189245,0.067368804,0.096172469,0.109226158,0.082994931,0.091541817
Tcp1-ps1,0.002048017,0.003582235,0.002333404,0.001446496,0.003882459,0.002879382
Dbc1,0,0,0.002478164,0,0.000380099,0.000169838
Gm11221,0.052346526,0.07948838,0.065732802,0.056132409,0.055717511,0.065001842
Gm11222,0,0,0,0.001166836,0,0.000675641
Gm11223,0.173190112,0.203347476,0.23965995,0.257216001,0.356512094,0.160135059
Gm11224,0.021624398,0.019631718,0.016464947,0.027345578,0.024692805,0.023919411
Gm11225,0,0,0,0,0.001028065,0
Cdk5rap2,0.123609984,0.156788474,0.221144427,0.265268084,0.292069303,0.163920725
Gm11226,0,0,0,0.000454614,0.000482284,0.000206095
Megf9,0.016135948,0.027794166,0.021894537,0.039714365,0.038171232,0.015589213
Gm11229,0.010339371,0.005137704,0.0020624,0.00533882,0.001744613,0.002237203
Rps18-ps1,0.172252027,0.131159249,0.189803335,0.154459867,0.190425658,0.192436011
Gm11232,0,0.000241932,0.000505129,0.001503051,0.001251973,0.000123668
Tle1,0.145479507,0.110161779,0.148639112,0.187362734,0.210636913,0.039966267
Gm11250,0,0,0,0,0,0
C630043F03Rik,0.017853669,0.009086838,0.015822011,0.007677586,0.022098368,0.003485234
Aldoart1,0.052083814,0.032605688,0.016832208,0.023071731,0.020166655,0.034501358
Gm11251,0,0,0,0.000334061,0,0
Gm11485,0.000465577,0,0,0.002994889,0,0.000578609
Gm11488,0.000748416,0.002700057,0.003223866,0.007859846,0.004053495,0.004387945
Rasef,0.000839012,0.002635873,0.002093828,0.000353821,0.002019069,0.00180698
Gm11240,0.000981556,0.001575888,0.000446447,0.000902366,0,0.000162712
Gm13867,0,0,0,0,0,0
Frmd3,0.00317996,0.013629029,0.005669302,0.007129984,0.003111347,0.009491757
Gm11760,0,0,0.000687297,0.000546886,0,0.00066977
Gm11405,0,0,0,0,0,0
Kdm4c,0.062545319,0.069969184,0.060196191,0.068358887,0.063933757,0.052240585
A230083N12Rik,0.001286569,0.002300779,0.002555228,0.001027881,0.001552669,0.00092316
Gm11258,0.000683594,0,0.000200508,0.003935027,0.000532738,0.000467551
Gm12912,0.001472307,0.002924814,0.001810055,0.006698977,0.00301065,0.003373636
3110001D03Rik,0.915695216,0.89923685,0.897458377,0.780767338,0.943129111,0.862309379
Gm11255,0.000401311,0,0.000489578,0,0,0
Ptprd,0.080791156,0.086616664,0.096778429,0.166068565,0.173364009,0.092986514
Gm11246,0.004826185,0.00265795,0.004852163,0.005302664,0.009197757,0.003925682
Gm11263,0.046747928,0.038751097,0.052268599,0.057637697,0.060635551,0.044153592
Gm11407,0.005847087,0.00467379,0.003366984,0.002765601,0.002086012,0.003575481
Gm11408,0,0,0.000541769,0,0,0.001045001
Gm11410,0.115442898,0.075938139,0.068776326,0.080230932,0.070292235,0.084371953
Lurap1l,0.002851796,0.005759767,0.010829478,0.007447738,0.012876199,0.00792924
Mpdz,0.155322975,0.255100485,0.210002142,0.29908678,0.323275588,0.207684788
Gm11765,0,0.000771166,0,0.001316784,0.000424421,0.00049431
Gm11412,0,0,0,0,0,0
Gm11264,0,0,0.000723346,0.001142798,0,0.001560758
Gm5860,0,0.000609901,0.002122251,0.044435986,0.000236546,0.009368503
Nfib,0.069712099,0.131664068,0.037598189,0.219897808,0.060280549,0.157836567
Gm11266,0,0.000774471,0.000184358,0.004173272,0,0.000440182
Gm11267,0,0,0,0,0.000462794,0.000111062
Zdhhc21,0.1920985,0.172228885,0.154735275,0.190605768,0.140232385,0.218378347
Cer1,0,0,0.000777282,0,0,0
Frem1,0.014443791,0.005181372,0.028509009,0.037947541,0.045694463,0.027543545
Gm11185,0.004549058,0.004809436,0.003922615,0.003461922,0.002024169,0.003511535
Ttc39b,0.008191687,0.013405418,0.007081889,0.002733961,0.006308616,0.004601104
Gm11413,0.000921887,0,0.000465962,0.000427401,0.000386123,0
Snapc3,0.311427382,0.296317306,0.413863898,0.352160496,0.373087787,0.296739626
Psip1,3.325425025,3.756624299,4.017499155,3.879050485,4.268048885,3.693934778
Gm11414,0,0,0.000678467,0,0.001286644,0
Gm10154,0.028741183,0.019286469,0.031318143,0.016849891,0.02328916,0.02496166
Ccdc171,0.027343269,0.023410156,0.005414893,0.017301795,0.015506911,0.012996909
Gm12416,0.044875579,0.036322326,0.020349036,0.034808225,0.041316058,0.027116589
Bnc2,0.00415052,0,0.003497424,0.00648992,0.01484366,0.000617307
Gm12421,0.023866394,0.010822404,0.022326199,0.014003542,0.013683274,0.015647548
Gm12420,0,0,0,0,0,0
Cntln,0.083084573,0.069339389,0.052903951,0.120823571,0.115767393,0.064846609
Gm12418,0.002935693,0.00219568,0.009159665,0.008805825,0.004323171,0.011660402
Sh3gl2,0.004209393,0.00164595,0.003245703,0.004387148,0.002497195,0.001633188
Gm12680,0.001920122,0,0.000202755,0,0,0.001080445
Adamtsl1,0.008150804,0.006322927,0.00511414,0.036090673,0.007682198,0.009852801
Fam154a,0,0,0.000169528,0,0,0.000369731
Rraga,1.404251097,1.450333009,1.521459113,1.634983814,1.425794844,1.405261337
Haus6,0.094888035,0.136561719,0.16237842,0.174733964,0.192571389,0.162384629
Gm12551,0,0.00105795,0.000182224,0.000545027,0.0005361,0.00013696
Plin2,0.288028024,0.287760077,0.264614132,0.361177305,0.405816666,0.241914039
Dennd4c,0.021697604,0.022919062,0.037268431,0.041188619,0.051311347,0.033220454
Gm12630,0.002639261,0.002498083,0.005426945,0.003970787,0.004737425,0.003867833
Rps6,12.06055878,10.67453851,13.13829417,12.87133625,15.39661622,13.3607099
Acer2,0.006798463,0.011385924,0.009449691,0.004138148,0.006128455,0.008277034
Slc24a2,0.159109193,0.247359726,0.051735908,0.030248342,0.254850718,0.062299843
Gm12604,0.000603644,0.001356499,0.000442244,0,0.001078944,0.000516661
Mllt3,1.031518754,0.90038122,0.349422226,0.168155577,0.644998756,0.539661355
BC057079,0.017939195,0.039432852,0.023865349,0.019546204,0.023145153,0.053792642
Ptplad2,0.099762215,0.141870211,0.05881248,0.102232247,0.089610086,0.113769301
Mrpl48-ps,0.027251498,0.016626686,0.010026645,0.018604226,0.018804408,0.022970271
Klhl9,0.629971098,0.660642727,0.581939102,0.705844769,0.647069002,0.606291217
ENSMUSG00000070923,0.001878246,0.001825315,0.001308949,0,0.000353938,0.001518998
Gm13283,0,0.000385509,0.000187101,0,0,0.000531957
Gm13272,0,0,0,0,0,0
Ifnz,0,0,0,0,0,0
AL928605.3,0,0,0.000303692,0,0,0.000844445
AL928605.4,0,0,0.000242528,0,0,0.000186865
Gm12602,0,0,0,0.000585512,0,0.000173173
Mtap,0.559264398,0.476260138,0.873899955,0.753747462,0.86432112,0.913764396
Gm12607,0.006174479,0.010271646,0.012143741,0.008854659,0.017130493,0.01171782
Gm12606,0,0,0,0,0,0
Cdkn2a,0.001542106,0.000495114,0.002962081,0.002096716,0.000291421,0.001466833
Cdkn2b,0.004656553,0.003379501,0.001353663,0.012661027,0.001786646,0.004561347
Gm12608,0.000856281,0,0.001709226,0,0,0.000312063
Dmrta1,0.002733575,0.002309727,0.004129441,0.002292084,0.002686547,0.003419062
Zfp352,0,0,0,0,0,0.00026312
Gm12634,0,0,0.000590136,0,0,0
Gm12632,0.002956356,0.002204304,0.000907091,0.002421431,0.001180444,0.001993119
Gm12643,0.022996991,0.019004436,0.035664718,0.022701544,0.023581115,0.022215365
Elavl2,0.011270156,0.013772053,0.067371041,0.066677713,0.052068301,0.047047906
Gm12669,0.225285307,0.227940453,0.286301949,0.273798505,0.276135748,0.291309787
Gm12666,0.007043227,0.009310228,0.008184947,0.004996189,0.006243458,0.009658987
Gm12642,0.009036472,0.006378999,0.007078583,0.00474557,0.006549582,0.004089479
Tusc1,0.029404641,0.031302027,0.019978313,0.043335907,0.032069418,0.024562307
Gm12650,0.001342564,0.00158764,0,0.000420768,0.000353938,0.001987569
Gm12655,0.002458526,0.003876262,0.000977308,0.002161165,0.001275629,0.001605797
Gm12656,0,0.000536542,0,0,0,0.000160353
5830433M19Rik,0.310186505,0.298307476,0.398401519,0.404719237,0.393471776,0.287274388
Gm10306,0.001747711,0.001474889,0.001884879,0.000510456,0.000591935,0.000504979
Plaa,0.723935005,0.807540477,0.808035065,0.792938546,0.818242922,0.778071549
Gm12657,0.051326518,0.051732945,0.053737712,0.077062364,0.077875389,0.056382595
Ift74,0.308186879,0.313165438,0.463234713,0.563175809,0.541483108,0.267885676
Lrrc19,0,0,0,0,0,0.00017417
Tek,0.008320787,0.039341896,0.04223939,0.003181404,0.080535947,0.009769391
Eqtn,0.002323833,0.000670685,0,0,0,0.000359933
